yr,b_abun,biomass,std,cnt
1989,3889.700829,69.458943375,71.867319500967,56
1990,9885.717693,86.716821868421,101.690600774429,114
1991,9923.886517,122.517117493827,149.861829319026,81
1992,7861.063052,100.782859641026,129.510370194602,78
1993,6262.297309,107.970643258621,146.291617326878,58
1994,5535.299084,115.318730916667,131.291902404684,48
1995,6045.487746,123.377300938776,129.485349252747,49
1996,4225.154809,108.337302794872,99.1956563643414,39
1997,2650.261688,61.633992744186,57.3993343241217,43
1998,5113.30767,104.353217755102,102.792326212415,49
1999,4994.904985,106.274574148936,112.31590525853,47
2000,4459.847967,178.39391868,362.539952543852,25
2001,9147.995127,198.869459282609,286.630314690458,46
2002,32708.85703,760.67109372093,2830.50885860353,43
2003,3054.18355,69.4132625,59.494106743198,44
2004,5132.481076,125.182465268293,107.783622978232,41
2005,10521.655153,169.704115370968,143.818946865461,62
2006,9961.492535,177.883795267857,270.202039779827,56
2007,7211.941122,147.182471877551,187.350446300941,49
2008,7005.240864,114.840014163934,130.307397948953,61
2009,3953.801202,82.370858375,72.1547694502743,48
2010,4841.563942,105.251390043478,99.3166360827447,46
2011,6182.515362,118.894526192308,132.422181168591,52
2012,2386.575299,70.1933911470588,78.1165225286395,34
2013,4217.984921,150.642318607143,190.888442247358,28
2014,2756.4739,98.4454964285714,100.749454873844,28
2015,9603.153912,342.969782571428,494.015460672159,28
2016,44448.611714,1269.96033468571,3102.88256508313,35
2017,29673.553052,1236.39804383333,1584.12646841811,24
