yr,p_abun,pennate,pen_std,pen_cnt,c_abun,centric,cen_std,cen_cnt
1989,836.28261,17.0669920408163,34.5866024360903,49,939.540507,19.1742960612245,48.9915738217267,49
1990,1754.172554,15.523650920354,26.3931000293507,113,4541.088363,40.1866226814159,91.5266229285821,113
1991,1798.530914,22.481636425,46.2399827727255,80,5683.189088,71.0398636,124.931300812876,80
1992,1076.384144,13.9790148571429,27.4204276775571,77,3683.114789,47.8326595974026,96.5618099657608,77
1993,538.605383,9.28629970689655,20.0459592648168,58,3987.589731,68.7515470862069,128.555640957343,58
1994,1744.641604,36.3467000833333,76.6949113051806,48,2206.016999,45.9586874791667,86.7657330262784,48
1995,655.467722,13.3768922857143,24.2881224656871,49,2222.009019,45.3471228367347,102.861210363243,49
1996,1832.90422,46.9975441025641,87.2943920949319,39,1194.640166,30.6317991282051,49.4499418787848,39
1997,375.737598,8.7380836744186,21.1200158752929,43,627.636348,14.5961941395349,22.9414754825072,43
1998,663.098674,13.8145557083333,29.9969245648727,48,3095.84159,64.4966997916667,87.2443085253916,48
1999,616.058328,13.107624,18.2910924067866,47,2664.898542,56.6999689787234,94.0661073861277,47
2000,383.814208,15.9922586666667,30.5447976147373,24,2771.764408,115.490183666667,215.356068213867,24
2001,5517.719292,122.615984266667,261.915575672499,45,1893.83243,42.0851651111111,72.1239178741133,45
2002,12911.259098,314.908758487805,1215.66578252176,41,16497.579192,402.379980292683,2166.36467556263,41
2003,847.629639,19.7123171860465,27.6573503842453,43,1272.99634,29.6045660465116,39.7334437738145,43
2004,492.869667,12.0212113902439,15.9292926807471,41,935.807755,22.8245793902439,34.1574053591506,41
2005,1243.143455,20.3794009016393,37.744688184954,61,3018.361083,49.4813292295082,83.1711930307459,61
2006,1816.328894,32.4344445357143,172.606153622512,56,2348.034198,41.9291821071429,114.853895274395,56
2007,823.371131,16.8034924693878,29.4702297071767,49,3548.052117,72.409226877551,145.113898598684,49
2008,883.30453,14.4804021311475,24.9826779024005,61,3997.098983,65.5262128360656,119.124666188218,61
2009,417.330677,8.69438910416667,11.694842756142,48,1760.457819,36.6762045625,54.7924792373685,48
2010,1578.620753,34.3178424565217,72.1944067089741,46,1062.521758,23.0982990869565,34.9369160775963,46
2011,574.3137,11.0444942307692,14.3260091236597,52,3036.78167,58.3996475,106.695895305742,52
2012,285.036411,8.38342385294118,12.2722737528186,34,647.918553,19.0564280294118,32.6709346212506,34
2013,2938.640915,104.95146125,191.580093944608,28,364.958935,13.0342476785714,24.1369559586034,28
2014,919.255585,32.8305566071429,40.3474113743045,28,1077.925727,38.4973473928572,61.1574603005597,28
2015,5316.954183,196.924229,402.512057368086,27,2396.579988,88.7622217777778,260.561445704754,27
2016,8789.683616,366.236817333333,800.553867248372,24,4343.141655,180.964235625,609.379959619992,24
2017,18390.765943,766.281914291667,1273.30083051514,24,7727.677402,321.986558416667,354.644827129594,24
